кол-во конверсий,Год,Квартал,Месяц,День,forecastValue,confidenceHighBound,confidenceLowBound,Первые Date
445,2020,Кв. 1,Январь,1,,,,2020-01-01 00:00:00
609,2020,Кв. 1,Январь,2,,,,2020-01-02 00:00:00
678,2020,Кв. 1,Январь,3,,,,2020-01-03 00:00:00
672,2020,Кв. 1,Январь,4,,,,2020-01-04 00:00:00
642,2020,Кв. 1,Январь,5,,,,2020-01-05 00:00:00
579,2020,Кв. 1,Январь,6,,,,2020-01-06 00:00:00
688,2020,Кв. 1,Январь,7,,,,2020-01-07 00:00:00
700,2020,Кв. 1,Январь,8,,,,2020-01-08 00:00:00
733,2020,Кв. 1,Январь,9,,,,2020-01-09 00:00:00
790,2020,Кв. 1,Январь,10,,,,2020-01-10 00:00:00
619,2020,Кв. 1,Январь,11,,,,2020-01-11 00:00:00
657,2020,Кв. 1,Январь,12,,,,2020-01-12 00:00:00
752,2020,Кв. 1,Январь,13,,,,2020-01-13 00:00:00
800,2020,Кв. 1,Январь,14,,,,2020-01-14 00:00:00
785,2020,Кв. 1,Январь,15,,,,2020-01-15 00:00:00
771,2020,Кв. 1,Январь,16,,,,2020-01-16 00:00:00
749,2020,Кв. 1,Январь,17,,,,2020-01-17 00:00:00
648,2020,Кв. 1,Январь,18,,,,2020-01-18 00:00:00
738,2020,Кв. 1,Январь,19,,,,2020-01-19 00:00:00
742,2020,Кв. 1,Январь,20,,,,2020-01-20 00:00:00
743,2020,Кв. 1,Январь,21,,,,2020-01-21 00:00:00
754,2020,Кв. 1,Январь,22,,,,2020-01-22 00:00:00
757,2020,Кв. 1,Январь,23,,,,2020-01-23 00:00:00
646,2020,Кв. 1,Январь,24,,,,2020-01-24 00:00:00
611,2020,Кв. 1,Январь,25,,,,2020-01-25 00:00:00
645,2020,Кв. 1,Январь,26,,,,2020-01-26 00:00:00
709,2020,Кв. 1,Январь,27,,,,2020-01-27 00:00:00
720,2020,Кв. 1,Январь,28,,,,2020-01-28 00:00:00
700,2020,Кв. 1,Январь,29,,,,2020-01-29 00:00:00
732,2020,Кв. 1,Январь,30,,,,2020-01-30 00:00:00
593,2020,Кв. 1,Январь,31,,,,2020-01-31 00:00:00
612,2020,Кв. 1,Февраль,1,,,,2020-02-01 00:00:00
685,2020,Кв. 1,Февраль,2,,,,2020-02-02 00:00:00
750,2020,Кв. 1,Февраль,3,,,,2020-02-03 00:00:00
740,2020,Кв. 1,Февраль,4,,,,2020-02-04 00:00:00
727,2020,Кв. 1,Февраль,5,,,,2020-02-05 00:00:00
718,2020,Кв. 1,Февраль,6,,,,2020-02-06 00:00:00
685,2020,Кв. 1,Февраль,7,,,,2020-02-07 00:00:00
664,2020,Кв. 1,Февраль,8,,,,2020-02-08 00:00:00
676,2020,Кв. 1,Февраль,9,,,,2020-02-09 00:00:00
713,2020,Кв. 1,Февраль,10,,,,2020-02-10 00:00:00
739,2020,Кв. 1,Февраль,11,,,,2020-02-11 00:00:00
678,2020,Кв. 1,Февраль,12,,,,2020-02-12 00:00:00
706,2020,Кв. 1,Февраль,13,,,,2020-02-13 00:00:00
674,2020,Кв. 1,Февраль,14,,,,2020-02-14 00:00:00
601,2020,Кв. 1,Февраль,15,,,,2020-02-15 00:00:00
717,2020,Кв. 1,Февраль,16,,,,2020-02-16 00:00:00
541,2020,Кв. 1,Февраль,17,541,541,541,2020-02-17 00:00:00
,,,,,638,761,514,2020-02-18 00:00:00
,,,,,639,794,485,2020-02-19 00:00:00
,,,,,644,824,464,2020-02-20 00:00:00
,,,,,637,839,434,2020-02-21 00:00:00
,,,,,537,760,314,2020-02-22 00:00:00
,,,,,566,808,325,2020-02-23 00:00:00
,,,,,583,842,325,2020-02-24 00:00:00
,,,,,638,912,363,2020-02-25 00:00:00
,,,,,639,929,349,2020-02-26 00:00:00
,,,,,644,948,340,2020-02-27 00:00:00
